"Observed" "Shannon" "PD" "Status"
987 3.17285171172873 37.555269572 "root metagenome"
1108 3.8456182983781 45.099411696 "root metagenome"
1118 3.78102309313464 43.148594538 "root metagenome"
1025 3.51949059053813 38.4007641 "root metagenome"
1092 3.69601819561269 43.033436489 "root metagenome"
1111 3.69107473048912 40.835776883 "root metagenome"
1070 3.6170400114045 40.114117912 "root metagenome"
1543 3.95602765049505 45.5085549979999 "root metagenome"
2296 7.07735185005438 74.1675754299999 "soil metagenome"
2349 7.0586822573428 80.391602504 "soil metagenome"
1893 6.88378545532611 67.7180690380001 "soil metagenome"
2292 7.13803995305291 78.4045627629998 "soil metagenome"
2204 7.0361432259759 77.285161707 "soil metagenome"
2255 7.11318639318101 76.9927696929999 "soil metagenome"
2499 7.18092135123881 79.6056711629999 "soil metagenome"
2159 7.08501893033546 76.3921982719999 "soil metagenome"
2452 7.19818501313241 80.7035980329998 "soil metagenome"
2108 7.05907068113318 68.372785004 "soil metagenome"
2408 6.98327804458854 79.8473763630001 "soil metagenome"
1515 3.30894624726288 48.366690798 "root metagenome"
1315 3.28030807973688 45.4185016860001 "root metagenome"
1333 2.91776514073566 43.250829392 "root metagenome"
1387 3.34008171489799 44.829295517 "root metagenome"
1033 2.76650331373345 38.51543299 "root metagenome"
1375 2.88556896113656 45.332135241 "root metagenome"
1318 3.68751912667307 41.3237250220001 "root metagenome"
1134 3.67711357779675 39.2871195690001 "root metagenome"
1237 2.80446513440253 41.0065843500001 "root metagenome"
1279 2.7662149987282 41.0049211750001 "root metagenome"
942 3.01816704818336 33.818379879 "root metagenome"
919 3.40951125055833 35.193590646 "root metagenome"
936 4.20415095582114 35.594209127 "root metagenome"
1090 4.2394731747223 41.13298726 "root metagenome"
1076 3.82160208935665 38.835158952 "root metagenome"
1086 3.5774122098636 42.732882622 "root metagenome"
1253 4.20378339245336 40.861675529 "root metagenome"
1212 4.1545646895438 44.934762823 "root metagenome"
1292 4.8575977539804 42.611066514 "root metagenome"
1099 4.46433932343586 39.5770471870001 "root metagenome"
1066 4.18861891050552 38.0017685280001 "root metagenome"
1132 4.43232799792204 42.0736309080001 "root metagenome"
1051 4.13594248562891 37.1042498 "root metagenome"
1066 4.06434345989437 36.668434352 "root metagenome"
935 3.31496597066113 39.642454641 "root metagenome"
1404 4.15353665097445 46.532106285 "root metagenome"
988 3.48294022645218 37.203096565 "root metagenome"
974 3.49767029544185 32.604832686 "root metagenome"
1830 6.76649516130487 58.5282459939999 "soil metagenome"
1594 6.70354778237967 55.25881493 "soil metagenome"
1831 6.76556673507176 62.2288656689999 "soil metagenome"
1618 6.63063137033195 55.9419858769999 "soil metagenome"
1776 6.74070511935514 59.7477023289999 "soil metagenome"
1876 6.73098321757718 63.9598773029999 "soil metagenome"
1536 6.5470232842081 53.168717542 "soil metagenome"
1960 6.81780988327496 63.4384255689999 "soil metagenome"
1056 3.70792234289669 39.053252515 "root metagenome"
873 2.93092085938187 31.693785416 "root metagenome"
1027 3.28575758836147 42.9935620250001 "root metagenome"
1542 3.51746403801632 50.2867580849999 "root metagenome"
1311 2.7170485146603 48.176758195 "root metagenome"
1033 3.39717590598855 40.3153620250001 "root metagenome"
1036 2.90935052811652 42.538975933 "root metagenome"
1353 2.77401426781242 48.506866158 "root metagenome"
1209 3.39782404868733 46.758551717 "root metagenome"
2353 6.94217394852596 79.5018996320001 "soil metagenome"
1094 3.08704873882324 46.09762215 "root metagenome"
1226 3.76451174490844 43.939468578 "root metagenome"
1495 4.37491781671475 54.038323231 "root metagenome"
1183 3.74812736295624 44.420906889 "root metagenome"
