sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ERR4613511	200832	185504	92.37	170418	150869	75.12	149124	74.25
ERR4613512	252322	235020	93.14	231369	223824	88.71	220282	87.3
ERR4613513	259178	243020	93.77	237298	228095	88.01	224016	86.43
ERR4613514	234987	219551	93.43	215776	208777	88.85	205949	87.64
ERR4613515	269834	252582	93.61	248139	240279	89.05	236523	87.66
ERR4613516	246550	229558	93.11	224507	216337	87.75	213035	86.41
ERR4613517	271823	253947	93.42	247620	238175	87.62	233872	86.04
ERR4613518	248361	230888	92.96	227544	220431	88.75	217183	87.45
ERR4613519	248221	231382	93.22	227386	219955	88.61	215518	86.83
ERR4613520	288664	268232	92.92	264730	256113	88.72	251748	87.21
ERR4613521	198556	184416	92.88	181008	174155	87.71	171693	86.47
ERR4613522	192802	179070	92.88	175111	167474	86.86	163545	84.83
ERR4613523	212345	197289	92.91	193142	186213	87.69	183389	86.36
ERR4613524	200890	186059	92.62	182168	175251	87.24	172847	86.04
ERR4613525	203548	188588	92.65	184366	177725	87.31	175526	86.23
ERR4613526	171161	158429	92.56	154989	148238	86.61	144741	84.56
ERR4613527	199013	184501	92.71	181105	174496	87.68	171515	86.18
ERR4613528	200812	186389	92.82	181672	173733	86.52	169952	84.63
ERR4613529	220255	204894	93.03	200180	191759	87.06	187311	85.04
ERR4613530	198484	184907	93.16	182135	177502	89.43	174894	88.11
ERR4613531	183749	170802	92.95	167280	161617	87.96	157598	85.77
ERR4613532	192732	179536	93.15	176492	171307	88.88	166862	86.58
ERR4613533	187467	174556	93.11	172074	167546	89.37	162796	86.84
ERR4613534	190904	177272	92.86	175073	170507	89.32	166893	87.42
ERR4613535	230224	215110	93.44	212401	207113	89.96	201588	87.56
ERR4613536	211076	196821	93.25	194299	188764	89.43	183237	86.81
ERR4613537	197615	184429	93.33	181499	175759	88.94	170996	86.53
ERR4613538	199344	186362	93.49	182243	175607	88.09	170553	85.56
ERR4613539	308249	287711	93.34	282502	271799	88.18	261874	84.96
ERR4613540	207586	192390	92.68	175395	156767	75.52	155255	74.79
ERR4613541	213252	199060	93.34	179908	156897	73.57	155243	72.8
ERR4613542	209633	194214	92.64	177030	156212	74.52	154845	73.86
ERR4613543	180802	168350	93.11	153376	136062	75.25	135042	74.69
ERR4613544	189790	176011	92.74	157852	138067	72.75	137161	72.27
ERR4613545	198563	183149	92.24	165545	146334	73.7	144976	73.01
ERR4613546	189262	174991	92.46	158838	141094	74.55	139759	73.84
ERR4613547	199304	183060	91.85	166719	147201	73.86	145751	73.13
ERR4613548	199501	184112	92.29	167390	148871	74.62	147644	74.01
ERR4613549	205245	190000	92.57	187496	182135	88.74	179283	87.35
ERR4613550	185254	171085	92.35	168611	163679	88.35	161665	87.27
ERR4613551	204902	190046	92.75	187380	182145	88.89	179648	87.68
ERR4613552	237110	219864	92.73	216593	210014	88.57	207115	87.35
ERR4613553	231557	214453	92.61	211875	205998	88.96	203080	87.7
ERR4613554	221365	206452	93.26	203232	197438	89.19	193902	87.59
ERR4613555	200694	187061	93.21	183828	177815	88.6	175219	87.31
ERR4613556	220295	204098	92.65	201489	196267	89.09	193576	87.87
ERR4613557	185193	171805	92.77	169704	165115	89.16	162091	87.53
ERR4613558	189051	175285	92.72	172975	168258	89	165147	87.36
ERR4613559	216936	200773	92.55	198106	191697	88.37	187731	86.54
ERR4613560	203017	188671	92.93	186158	180917	89.11	177517	87.44
ERR4613561	202024	187862	92.99	185640	179852	89.03	176163	87.2
ERR4613562	195677	182047	93.03	179635	173442	88.64	170035	86.9
ERR4613563	190023	175243	92.22	172631	167067	87.92	163462	86.02
ERR4613564	232452	214842	92.42	212441	206782	88.96	202314	87.03
ERR4613565	405247	374831	92.49	370998	359291	88.66	347446	85.74
ERR4613566	192201	177360	92.28	174795	169208	88.04	166105	86.42
ERR4613567	223138	206224	92.42	203756	197248	88.4	192739	86.38
ERR4613568	209309	196010	93.65	186547	175189	83.7	174308	83.28
ERR4613569	196839	183080	93.01	180787	176872	89.86	174037	88.42
